customer_id,gender,age,senior_citizen,partner,dependents,tenure,phone_service,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,support_tickets,late_payments,satisfaction_score,churn
CUST_000032,Male,31,0,Yes,No,4,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer,66.97,486.99,1,0,9,0
CUST_000033,Male,65,1,No,Yes,5,Yes,DSL,,Yes,Yes,Yes,Yes,No,Two year,No,Credit card,41.69,314.48,2,2,1,1
CUST_000034,Female,44,0,No,No,52,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer,95.52,4852.42,2,0,2,0
CUST_000035,Female,44,0,No,No,16,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Bank transfer,109.28,1867.2,3,0,2,1
CUST_000036,Male,41,0,Yes,No,56,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,77.65,4199.92,1,2,7,0
CUST_000037,Female,32,0,Yes,No,44,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Bank transfer,52.92,2257.31,9,1,9,1
CUST_000038,Female,59,0,Yes,No,29,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,112.99,3321.1,1,0,2,1
CUST_000039,Male,18,0,Yes,Yes,33,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,86.58,3007.3,2,2,1,1
CUST_000040,Female,53,0,No,No,52,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,146.9,7723.32,5,0,1,1
CUST_000041,Male,72,1,Yes,Yes,69,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Electronic check,97.77,6683.6,1,2,6,1
CUST_000042,Female,69,1,Yes,No,41,Yes,No,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,149.7,6126.87,1,3,3,1
CUST_000043,Female,39,0,No,No,49,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,130.4,6522.95,3,2,7,0
CUST_000044,Male,67,1,Yes,No,17,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,123.42,1944.22,5,3,8,1
CUST_000045,Male,31,0,No,No,17,No,DSL,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,124.91,2035.74,4,1,4,0
CUST_000046,Female,31,0,Yes,No,30,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Bank transfer,145.77,4421.47,0,1,10,0
CUST_000047,Male,37,0,No,Yes,29,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,68.91,1990.04,3,0,3,0
CUST_000048,Female,19,0,Yes,No,44,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,88.39,3993.11,3,2,1,1
CUST_000049,Female,33,0,No,Yes,67,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,145.22,9791.2,1,2,3,1
CUST_000050,Female,67,1,No,Yes,62,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card,29.09,1791.55,2,3,10,0
CUST_000051,Female,62,1,Yes,Yes,63,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,36.23,2221.92,4,2,9,1
CUST_000052,Male,37,0,Yes,No,17,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card,26.63,578.46,3,0,1,1
CUST_000053,Male,36,0,No,No,19,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,32.19,315.14,3,0,5,1
CUST_000054,Male,38,0,No,No,9,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,No,Credit card,70.04,449.02,2,0,9,0
CUST_000055,Male,24,0,Yes,No,56,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,75.24,4250.22,4,1,1,0
CUST_000056,Male,27,0,No,Yes,63,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,93.06,5982.24,0,1,4,0
CUST_000057,Female,75,1,No,No,24,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,133.18,3317.84,2,2,7,1
CUST_000058,Male,58,0,Yes,No,69,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.72,6567.3,0,1,4,0
CUST_000059,Female,57,0,No,No,64,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,106.04,6725.47,2,3,1,1
CUST_000060,Female,34,0,Yes,No,3,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Mailed check,49.43,155.87,3,1,5,0
CUST_000061,Female,67,1,No,No,45,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card,146.59,6669.71,1,1,9,1
CUST_000062,Female,28,0,No,No,70,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Credit card,69.95,4748.98,3,2,8,0
CUST_000063,Male,74,1,No,Yes,0,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card,92.93,191.62,3,3,6,1
CUST_000064,Female,47,0,No,Yes,54,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,68.61,3464.43,2,2,10,0
CUST_000065,Male,37,0,No,Yes,13,Yes,DSL,Yes,Yes,Yes,,Yes,Yes,Month-to-month,Yes,Bank transfer,141.98,1967.73,3,1,4,1
CUST_000066,Male,61,1,Yes,No,67,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,78.93,5222.51,3,4,3,1
CUST_000067,Female,42,0,Yes,Yes,71,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card,56.78,3922.27,3,0,5,1
CUST_000068,Male,33,0,Yes,No,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Mailed check,144.71,138.82,4,3,9,1
CUST_000069,Male,57,0,Yes,No,53,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,63.95,3321.26,3,1,1,0
CUST_000070,Male,59,0,Yes,No,68,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer,92.92,6210.86,4,1,8,1
CUST_000071,Female,52,0,No,No,31,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,52.15,1452.7,1,0,3,0
CUST_000072,Male,44,0,Yes,No,13,Yes,No,No,No,Yes,No,No,No,Two year,Yes,Bank transfer,54.39,742.24,4,0,9,0
CUST_000073,Male,37,0,No,Yes,52,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer,130.85,6865.68,2,0,4,1
CUST_000074,Male,41,0,Yes,No,5,Yes,No,Yes,,No,No,Yes,Yes,Month-to-month,No,Credit card,133.08,690.27,0,1,1,1
CUST_000075,Female,68,1,Yes,No,71,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer,29.98,2055.94,1,2,9,1
CUST_000076,Male,38,0,No,No,62,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,71.79,4437.54,3,0,2,1
CUST_000077,Male,74,1,Yes,No,71,Yes,No,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer,146.11,10325.22,1,3,3,1
CUST_000078,Male,26,0,No,Yes,58,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card,69.66,3990.81,2,0,2,0
CUST_000079,Female,27,0,Yes,Yes,50,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Bank transfer,42.4,2179.54,1,4,7,1
CUST_000080,Female,37,0,Yes,No,32,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,63.08,2076.84,3,0,5,1
CUST_000081,Female,18,0,No,No,5,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,53.11,340.28,2,0,5,1
CUST_000082,Male,68,1,No,No,61,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Credit card,119.33,,4,1,6,0
CUST_000083,Male,37,0,Yes,Yes,27,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Electronic check,125.02,3526.7,1,0,6,1
CUST_000084,Female,23,0,Yes,Yes,64,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Credit card,115.87,7558.4,2,2,10,0
CUST_000085,Female,53,0,Yes,No,16,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer,103.09,1648.71,3,0,10,0
CUST_000086,Female,73,1,Yes,Yes,0,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card,21.54,0.0,2,1,8,0
CUST_000087,Male,75,1,No,No,24,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,93.0,,0,0,1,1
CUST_000088,Male,24,0,No,Yes,4,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,70.95,320.66,3,1,5,1
CUST_000089,Female,63,1,Yes,No,55,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,79.22,4338.45,1,0,8,0
CUST_000090,Female,38,0,Yes,Yes,42,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Electronic check,126.49,5315.52,3,2,7,1
CUST_000091,Male,66,1,Yes,No,13,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,21.83,419.77,2,2,3,1
CUST_000092,Female,53,0,Yes,Yes,3,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,106.91,225.67,4,1,5,1
CUST_000093,Female,60,1,No,No,1,Yes,No,No,Yes,Yes,No,No,No,One year,No,Electronic check,51.51,116.44,5,2,2,0
CUST_000094,Male,66,1,Yes,No,46,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,143.64,6587.6,7,1,3,1
CUST_000095,Female,69,1,No,No,48,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer,99.37,4780.83,3,2,8,0
CUST_000096,Male,26,0,No,No,25,Yes,No,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer,122.18,3055.65,2,1,6,1
CUST_000097,Male,59,0,No,No,63,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,125.78,7964.67,1,3,9,0
CUST_000098,Female,26,0,No,No,36,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer,34.11,1041.3,3,2,7,1
CUST_000099,Female,72,1,Yes,No,45,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Credit card,93.91,4140.33,0,4,3,0
CUST_000100,Male,54,0,No,Yes,66,No,No,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,145.46,9469.03,3,1,9,1
CUST_000101,Female,29,0,No,No,8,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,52.32,533.53,6,1,4,1
CUST_000102,Male,34,0,No,Yes,54,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,58.61,3107.89,4,0,8,1
CUST_000103,Female,69,1,Yes,No,35,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,125.46,4337.44,4,1,7,1
CUST_000104,Male,55,0,Yes,No,26,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Credit card,59.19,1470.76,2,1,8,0
CUST_000105,Female,31,0,Yes,No,48,Yes,No,No,No,Yes,No,Yes,No,One year,Yes,Credit card,46.27,2265.03,2,1,1,0
CUST_000106,Female,65,1,Yes,Yes,65,Yes,No,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,77.37,4981.83,0,4,3,1
CUST_000107,Female,59,0,No,Yes,68,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,147.6,10209.31,6,1,4,1
CUST_000108,Female,22,0,No,No,35,Yes,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,79.02,2973.57,2,1,6,0
CUST_000109,Male,34,0,No,No,38,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card,63.23,2446.02,1,2,8,0
CUST_000110,Female,66,1,No,No,27,Yes,No,Yes,No,Yes,No,Yes,No,One year,Yes,Credit card,140.14,3869.57,2,3,2,1
CUST_000111,Male,38,0,No,Yes,68,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,132.28,,5,0,1,1
CUST_000112,Female,20,0,No,Yes,68,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Credit card,106.65,7192.69,4,0,5,0
CUST_000113,Female,53,0,Yes,Yes,36,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,32.63,1175.95,1,2,10,0
CUST_000114,Male,70,1,No,No,1,Yes,Fiber optic,Yes,No,Yes,,No,No,One year,Yes,Electronic check,148.64,102.94,2,1,10,1
CUST_000115,Female,50,0,Yes,No,26,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Mailed check,124.86,3249.91,1,2,7,0
CUST_000116,Female,74,1,No,Yes,40,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Credit card,45.62,1718.22,3,5,5,0
CUST_000117,Male,24,0,Yes,No,59,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,85.83,5222.17,2,1,9,0
CUST_000118,Male,56,0,No,Yes,68,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Mailed check,65.68,4524.63,3,1,5,1
CUST_000119,Male,55,0,No,Yes,5,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,117.7,580.11,2,1,10,1
CUST_000120,Male,75,1,Yes,No,68,Yes,DSL,,No,No,Yes,No,No,Month-to-month,No,Electronic check,20.7,1598.1,2,1,5,1
CUST_000121,Male,48,0,Yes,No,15,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer,129.65,1915.99,3,2,10,0
CUST_000122,Female,65,1,Yes,Yes,11,Yes,No,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,143.79,1542.9,5,1,2,1
CUST_000123,Female,26,0,No,No,68,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,44.85,2986.4,3,2,6,1
CUST_000124,Male,20,0,Yes,Yes,59,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,138.85,8085.94,0,0,3,1
CUST_000125,Female,59,0,Yes,Yes,66,Yes,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,49.49,3395.21,2,1,4,1
CUST_000126,Female,18,0,No,No,27,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,37.23,,3,0,7,0
CUST_000127,Male,68,1,No,Yes,36,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer,75.77,2691.09,2,2,3,0
CUST_000128,Female,19,0,No,No,56,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Electronic check,66.17,3744.7,5,2,3,1
CUST_000129,Female,57,0,Yes,Yes,47,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Electronic check,79.61,3826.82,1,2,8,1
CUST_000130,Female,44,0,Yes,No,0,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,47.45,0.16,2,0,1,0
CUST_000131,Female,55,0,Yes,Yes,60,Yes,No,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,60.38,3766.97,2,0,1,1
CUST_000132,Female,54,0,No,Yes,1,Yes,No,Yes,No,Yes,No,Yes,Yes,One year,No,Bank transfer,145.78,317.23,4,3,6,1
CUST_000133,Male,43,0,No,No,7,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Electronic check,71.05,423.83,4,0,9,1
CUST_000134,Female,45,0,No,No,15,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card,122.44,1844.75,2,0,9,1
CUST_000135,Female,47,0,No,Yes,50,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card,25.66,1261.56,2,0,3,0
CUST_000136,Male,57,0,Yes,No,42,Yes,No,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,32.16,1330.87,5,1,7,1
CUST_000137,Female,59,0,Yes,No,62,Yes,DSL,No,,Yes,No,No,Yes,Month-to-month,No,Credit card,90.93,5794.59,3,1,10,0
CUST_000138,Male,44,0,No,No,68,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card,95.19,6540.14,1,1,7,1
CUST_000139,Male,38,0,Yes,No,8,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer,88.77,636.89,4,0,1,0
CUST_000140,Male,20,0,No,No,59,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Electronic check,67.8,4087.46,3,2,4,1
CUST_000141,Female,63,1,No,No,56,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer,108.12,6127.88,2,1,1,0
CUST_000142,Male,31,0,Yes,No,12,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card,135.68,1407.49,3,2,9,1
CUST_000143,Male,43,0,No,No,1,Yes,No,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,148.99,299.02,1,0,1,1
CUST_000144,Male,75,1,No,Yes,13,Yes,No,No,No,Yes,No,No,No,Two year,No,Electronic check,102.15,1393.25,2,1,10,1
CUST_000145,Female,63,1,Yes,No,50,Yes,No,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,55.26,2689.09,5,3,3,1
CUST_000146,Female,38,0,Yes,No,64,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card,113.45,7270.97,3,3,3,1
CUST_000147,Male,45,0,No,Yes,21,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,77.98,1690.16,3,0,1,1
CUST_000148,Male,36,0,No,No,54,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card,138.27,7359.86,1,0,2,1
CUST_000149,Female,54,0,Yes,No,17,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Credit card,30.1,637.07,3,1,6,1
CUST_000150,Male,26,0,Yes,No,42,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,141.3,6036.25,2,1,7,0
CUST_000151,Female,73,1,Yes,No,65,Yes,No,No,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer,111.47,7172.0,3,2,10,1
CUST_000152,Male,75,1,No,Yes,3,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card,57.01,144.65,1,1,4,1
CUST_000153,Female,35,0,Yes,Yes,17,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,50.35,840.69,4,2,2,1
CUST_000154,Male,31,0,No,No,10,Yes,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer,103.72,1100.87,1,2,3,1
CUST_000155,Male,49,0,Yes,No,28,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.23,2415.88,0,1,2,1
CUST_000156,Female,55,0,No,Yes,41,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,48.57,2253.44,1,1,5,0
CUST_000157,Male,55,0,Yes,Yes,48,Yes,No,Yes,No,No,No,No,Yes,One year,Yes,Credit card,86.32,4073.53,3,2,4,1
CUST_000158,Female,20,0,Yes,Yes,61,Yes,No,No,No,Yes,No,No,No,Month-to-month,No,Credit card,28.01,1596.4,4,0,10,1
CUST_000159,Female,59,0,No,No,11,Yes,Fiber optic,No,No,No,,Yes,No,Month-to-month,No,Credit card,110.78,1076.4,3,1,9,1
CUST_000160,Female,21,0,No,Yes,47,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,146.34,6746.13,2,2,10,0
CUST_000161,Female,37,0,No,No,58,Yes,No,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer,37.08,2193.28,0,1,8,0
CUST_000162,Female,59,0,No,No,36,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Bank transfer,143.22,5052.97,3,2,6,1
CUST_000163,Male,69,1,Yes,No,45,Yes,DSL,No,No,No,No,Yes,Yes,One year,No,Mailed check,31.02,1533.59,2,1,9,0
CUST_000164,Male,54,0,No,No,67,Yes,No,No,No,Yes,No,No,No,One year,Yes,Bank transfer,80.92,5414.6,0,1,10,0
CUST_000165,Male,27,0,No,No,66,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,37.03,2412.19,2,1,8,0
CUST_000166,Female,57,0,No,Yes,3,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,92.43,177.13,2,0,9,1
CUST_000167,Male,20,0,Yes,No,43,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,87.33,3794.23,3,2,1,1
CUST_000168,Male,31,0,No,No,10,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card,120.38,1240.49,2,0,2,1
CUST_000169,Male,25,0,No,Yes,1,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,85.52,188.18,2,1,4,1
CUST_000170,Male,75,1,Yes,No,16,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer,91.77,1218.74,0,0,7,0
CUST_000171,Male,39,0,Yes,No,13,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card,29.14,288.73,5,1,3,1
CUST_000172,Male,50,0,Yes,No,0,Yes,No,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,137.39,0.0,4,1,5,1
CUST_000173,Female,63,1,Yes,Yes,36,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card,87.81,3132.66,2,2,6,0
CUST_000174,Female,74,1,No,Yes,32,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Credit card,50.69,1515.77,0,5,1,0
CUST_000175,Female,75,1,Yes,Yes,34,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,125.45,4240.71,4,0,8,1
